name,brand,type,gender,age,budget,category,use_time,skin_types,skin_concerns,texture,fragrance_free,alcohol_free,ingredients,price,purchase_link,image_url,instructions
Balsamo per le labbra delicato,Lavera,lipBalm,unisex,18-25,midRange,optional,morning;night,normal,dryness,balm,false,false,,0,https://www.lavera.it/balsamo-per-le-labbra-delicato,,Use delicate lip balm throughout the day.
basis sensitiv Crema Idratante Antirughe Q10,Lavera,moisturizer,unisex,26-35,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-idratante-antirughe-q10,,Apply day and night for moisturizing and anti-aging.
Glow by Nature Liquid Illuminating Refiner,Lavera,serum,unisex,26-35,midRange,treatment,morning;night,normal;dry;combination,dullness,lotion,false,false,,0,https://www.lavera.it/glow-by-nature-liquid-illuminating-refiner,,Apply to face before moisturizer for a glow.
Neutral Ultra Sensitive Fluido per il viso,Lavera,moisturizer,unisex,18-25,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;redness,lotion,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/neutral-ultra-sensitive-fluido-per-il-viso,,Apply gently to face morning and evening.
basis sensitiv Crema Contorno Occhi Antirughe,Lavera,eyeCream,unisex,26-35,midRange,special,morning;night,sensitive;dry;normal,dark_circles;dehydration;dryness;fine_lines;puffiness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-contorno-occhi-antirughe,,Pat around eye area morning and night.
LOZIONE SOLARE SENSITIVE KIDS SPF 50,Lavera,sunscreen,unisex,4-12,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,hyperpigmentation;sun_damage,lotion,false,false,zinc_oxide_or_filters:Sun Protection,0,https://www.lavera.it/lozione-solare-sensitive-kids-spf-50,,Apply generously to children's skin before sun exposure.
Crema Da Notte Rassodante,Lavera,nightCream,unisex,36-45,midRange,core,night,mature;dry;normal,dullness;fine_lines;wrinkles,cream,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging;ceramides:Barrier Support,0,https://www.lavera.it/crema-da-notte-rassodante,,Apply at night to clean skin for firming effect.
basis sensitiv Crema da Notte Antirughe Q10,Lavera,nightCream,unisex,26-35,midRange,core,night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-da-notte-antirughe-q10,,Use nightly to nourish and reduce wrinkles.
basis sensitiv Schiuma detergente,Lavera,cleanser,unisex,18-25,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;oiliness;redness,foam,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-schiuma-detergente,,Gently foam and cleanse the face morning and night.
Glow by Nature Siero,Lavera,serum,unisex,26-35,midRange,treatment,morning;night,normal;dry;combination,dullness,gel,false,false,,0,https://www.lavera.it/glow-by-nature-siero,,Apply serum morning or evening under moisturizer.
Glow by Nature Crema da giorno,Lavera,moisturizer,unisex,26-35,midRange,core,morning,normal;dry;combination,dullness,cream,false,false,,0,https://www.lavera.it/glow-by-nature-crema-da-giorno,,Use as daily moisturizer in the morning.
Cream Contorno Occhi Rassodante,Lavera,eyeCream,unisex,36-45,midRange,special,morning;night,mature;dry;normal,dark_circles;dullness;fine_lines;puffiness,cream,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging;ceramides:Barrier Support,0,https://www.lavera.it/crema-contorno-occhi-rassodante,,Apply firming eye cream morning and night.
Maschera Rassodante,Lavera,faceMask,unisex,36-45,midRange,treatment,night;weekly,mature;dry;normal,dullness;fine_lines;wrinkles,mask,false,false,hyaluronic_acid:Hydration;bakuchiol:Anti-aging;ceramides:Barrier Support,0,https://www.lavera.it/maschera-rassodante,,Use firming mask weekly for lifting effect.
PURE BEAUTY Fluido Anti-Imperfezioni,Lavera,spotTreatment,unisex,18-25,midRange,treatment,morning;night,combination;oily,acne;blackheads;oiliness;pores,gel,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-fluido-anti-imperfezioni,,Apply anti-imperfection fluid to clean skin.
Re-Energizing Sleeping Cream,Lavera,sleepingMask,unisex,26-35,midRange,hydration,night,normal;dry;mature,dehydration;dullness;fine_lines,cream,false,false,hyaluronic_acid:Hydration,0,https://www.lavera.it/re-energizing-sleeping-cream,,Apply before bed to revitalise skin overnight.
Straffende Hyaluron-Maske,Lavera,hydratingMask,unisex,26-35,midRange,treatment,night;weekly,normal;dry;combination,dehydration,mask,false,false,,0,https://www.lavera.it/straffende-hyaluron-maske,,Use hyaluron mask once or twice weekly.
basis sensitiv Crema notte lenitiva,Lavera,nightCream,unisex,26-35,midRange,core,night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-notte-lenitiva,,Apply at night for soothing hydration.
Fluido anti-UV SPF 30,Lavera,sunscreen,unisex,18-25,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,hyperpigmentation;sun_damage,lotion,false,false,zinc_oxide_or_filters:Sun Protection,0,https://www.lavera.it/fluido-anti-uv-spf-30,,Apply broad-spectrum SPF 30 fluid daily.
Hydro Refresh Roll-On Contorno Occhi,Lavera,eyeCream,unisex,26-35,midRange,special,morning;night,normal;combination;dry,dark_circles;dehydration;dullness;fine_lines;puffiness,gel,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-roll-on-contorno-occhi,,Roll around eye area morning and evening.
basis sensitiv Crema idratante,Lavera,moisturizer,unisex,18-25,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-idratante,,Use daily for moisture.
PURE BEAUTY Gel Anti-Imperfezioni,Lavera,spotTreatment,unisex,18-25,midRange,treatment,night,combination;oily,acne;blackheads;oiliness;pores,gel,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-gel-anti-imperfezioni,,Apply directly on pimples.
Hydro Refresh Siero,Lavera,serum,unisex,26-35,midRange,hydration,morning;night,normal;combination;dry,dehydration;dullness,gel,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-siero,,Apply hydrating serum before moisturizer.
basis sensitiv Lozione viso delicata,Lavera,toner,unisex,18-25,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;redness,lotion,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-lozione-viso-delicata,,Use gentle lotion after cleansing.
Illuminating Eye Cream Perle,Lavera,eyeCream,unisex,26-35,midRange,special,morning;night,normal,dark_circles;dullness;fine_lines;puffiness,cream,false,false,,0,https://www.lavera.it/illuminating-eye-cream-perle,,Apply pearl eye cream for brightening effect.
Re-Energizing Sleeping Trattamento occhi,Lavera,eyeSerum,unisex,26-35,midRange,special,night,normal;dry;mature,dark_circles;dehydration;dullness;fine_lines;puffiness,gel,false,false,hyaluronic_acid:Hydration,0,https://www.lavera.it/re-energizing-sleeping-trattamento-occhi,,Use overnight around eyes for renewal.
basis sensitiv Crema notte idratante lenitiva,Lavera,nightCream,unisex,26-35,midRange,core,night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-notte-idratante-lenitiva,,Apply at night for gentle hydration.
Hydro Refresh Spray Trattamento Viso,Lavera,serum,unisex,26-35,midRange,hydration,morning;night,normal;combination;dry,dehydration;dullness,spray,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-spray-trattamento-viso,,Spray on face for instant hydration.
Hydro Refresh Crema Gel,Lavera,moisturizer,unisex,26-35,midRange,hydration,morning;night,normal;combination;dry,dehydration;dullness,gel,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-crema-gel,,Apply gel-cream morning and/or night.
Barrier Balance Crema da notte,Lavera,barrierCream,unisex,26-35,midRange,special,night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,0,https://www.lavera.it/barrier-balance-crema-da-notte,,Use at night to strengthen skin barrier.
Barrier Balance Crema da giorno,Lavera,barrierCream,unisex,26-35,midRange,special,morning,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,0,https://www.lavera.it/barrier-balance-crema-da-giorno,,Apply daily for barrier support.
Hydro Refresh Acqua Micellare,Lavera,micellarWater,unisex,18-25,midRange,core,morning;night,normal;combination;dry,dehydration;dullness,lotion,false,false,hyaluronic_acid:Hydration;aloe_vera:Soothing,0,https://www.lavera.it/hydro-refresh-acqua-micellare,,Use micellar water with cotton pad to remove makeup.
Glow by Nature Fluido Anti-UV SPF 50,Lavera,sunscreen,unisex,18-25,midRange,core,morning,oily;combination;dry;normal;sensitive;mature,hyperpigmentation;sun_damage,lotion,false,false,zinc_oxide_or_filters:Sun Protection,0,https://www.lavera.it/glow-by-nature-fluido-anti-uv-spf-50,,Apply SPF 50 fluid before sun exposure.
Barrier Balance Siero,Lavera,serum,unisex,26-35,midRange,special,morning;night,sensitive;dry;normal,dehydration;dryness;redness,gel,false,false,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,0,https://www.lavera.it/barrier-balance-siero,,Use barrier repair serum before moisturizer.
basis sensitiv Crema idratante nutriente,Lavera,moisturizer,unisex,26-35,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitiv-crema-idratante-nutriente,,Apply rich nourishing cream for dry skin.
Barrier Balance Crema contorno occhi,Lavera,eyeCream,unisex,26-35,midRange,special,morning;night,sensitive;dry;normal,dark_circles;dehydration;dryness;fine_lines;puffiness;redness,cream,false,false,prebiotics:Microbiome Support;green_tea:Antioxidant;shea_butter:Moisturizing,0,https://www.lavera.it/barrier-balance-crema-contorno-occhi,,Apply around eyes for barrier care.
basis sensitive Crema contorno occhi antirughe,Lavera,eyeCream,unisex,26-35,midRange,special,morning;night,sensitive;dry;normal,dark_circles;dehydration;dryness;fine_lines;puffiness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-contorno-occhi-antirughe,,Pat anti-wrinkle eye cream around eyes.
basis sensitive Gel detergente,Lavera,cleanser,unisex,18-25,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;oiliness;redness,gel,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-gel-detergente,,Use cleansing gel for daily face wash.
Pure Beauty Liquid Refiner,Lavera,poreMinimizer,unisex,18-25,midRange,treatment,morning;night,combination;oily,acne;blackheads;oiliness;pores,lotion,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-liquid-refiner,,Apply liquid refiner to refine pores.
Pure Beauty 3in1 Detergente Peeling,Lavera,exfoliant,unisex,18-25,midRange,treatment,morning;night,combination;oily,acne;blackheads;oiliness;pores,cream,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-3in1-detergente-peeling,,Use 3-in-1 cleanser and exfoliant.
Pure Beauty Siero,Lavera,serum,unisex,18-25,midRange,treatment,morning;night,combination;oily,acne;blackheads;oiliness;pores,gel,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-siero,,Apply serum to help control blemishes.
basis sensitive Schiuma detergente,Lavera,cleanser,unisex,18-25,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;oiliness;redness,foam,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-schiuma-detergente,,Foam cleansing mousse for daily use.
Glow by Nature Crema 3in1 Vitamina C,Lavera,vitaminC,unisex,26-35,midRange,treatment,morning;night,normal;dry;combination,dullness,cream,false,false,,0,https://www.lavera.it/glow-by-nature-crema-3in1-vitamina-c,,Apply triple-action vitamin C cream for glow.
Pure Beauty Spot Treatment,Lavera,spotTreatment,unisex,18-25,midRange,treatment,night,combination;oily,acne;blackheads;oiliness;pores,cream,false,false,mint:Refreshing;salicylic_acid:Exfoliating,0,https://www.lavera.it/pure-beauty-spot-treatment,,Apply directly to blemishes as needed.
basis sensitive Latte detergente,Lavera,cleanser,unisex,18-25,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-latte-detergente,,Use cleansing milk to gently cleanse.
basis sensitive Crema notte lenitiva,Lavera,soothingCream,unisex,26-35,midRange,special,night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-notte-lenitiva,,Apply soothing night cream at bedtime.
basis sensitive Crema idratante antirughe Q10,Lavera,antiAging,unisex,26-35,midRange,treatment,morning;night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-idratante-antirughe-q10,,Apply Q10 anti-wrinkle moisturiser daily.
Glow By Nature Siero Booster Vitamina C,Lavera,vitaminC,unisex,26-35,midRange,treatment,morning;night,normal;dry;combination,dullness,gel,false,false,,0,https://www.lavera.it/glow-by-nature-siero-booster-vitamina-c,,Apply vitamin C booster serum before moisturizer.
Glow by Nature Illuminating Eye Cream,Lavera,eyeCream,unisex,26-35,midRange,special,morning;night,normal,dark_circles;dullness;fine_lines;puffiness,cream,false,false,,0,https://www.lavera.it/glow-by-nature-illuminating-eye-cream,,Apply illuminating eye cream daily.
basis sensitive Crema idratante,Lavera,moisturizer,unisex,18-25,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-idratante,,Daily moisturiser for normal skin.
basis sensitive Crema idratante nutriente,Lavera,moisturizer,unisex,26-35,midRange,core,morning;night,sensitive;dry;normal,dehydration;dryness;redness,cream,false,false,aloe_vera:Soothing;almond_oil:Nourishing;shea_butter:Moisturizing,0,https://www.lavera.it/basis-sensitive-crema-idratante-nutriente,,Rich nourishing cream for very dry skin.
